time,open,high,low,close
2025-08-29T13:15:00+05:30,24636,24660,24611,24648.9
2025-08-29T14:15:00+05:30,24648.9,24685,24546,24550
2025-08-29T15:15:00+05:30,24554.1,24579.8,24550.7,24574.6
2025-09-01T09:15:00+05:30,24581.1,24691.9,24581,24656.4
2025-09-01T10:15:00+05:30,24656,24688.1,24641,24682.8
2025-09-01T11:15:00+05:30,24683,24693,24654,24679.1
2025-09-01T12:15:00+05:30,24683.8,24732,24678,24722
2025-09-01T13:15:00+05:30,24724,24745.6,24710.1,24745
2025-09-01T14:15:00+05:30,24745,24760,24722.4,24746.9
2025-09-01T15:15:00+05:30,24746.8,24759,24745.5,24759
2025-09-02T09:15:00+05:30,24750,24860,24745,24843.8
2025-09-02T10:15:00+05:30,24844,24869,24828,24849.5
2025-09-02T11:15:00+05:30,24851,24860,24836,24845.1
2025-09-02T12:15:00+05:30,24845.4,24874.7,24833,24842.5
2025-09-02T13:15:00+05:30,24842.4,24847,24664.4,24684.4
2025-09-02T14:15:00+05:30,24682,24729.9,24651.9,24697
2025-09-02T15:15:00+05:30,24701,24704,24682,24683
2025-09-03T09:15:00+05:30,24680,24718,24638.5,24713.1
2025-09-03T10:15:00+05:30,24713.1,24715,24655.8,24685.7
2025-09-03T11:15:00+05:30,24680.2,24749.7,24670.4,24744.8
2025-09-03T12:15:00+05:30,24745,24767.7,24701.2,24715
2025-09-03T13:15:00+05:30,24717.7,24786.4,24706,24764.6
2025-09-03T14:15:00+05:30,24763.3,24837,24750.4,24826.9
2025-09-03T15:15:00+05:30,24823,24830.3,24806.2,24820
2025-09-04T09:15:00+05:30,24926.3,25048.5,24926.3,24933.9
2025-09-04T10:15:00+05:30,24932.7,24974,24904.6,24918
2025-09-04T11:15:00+05:30,24919.7,24949,24893.4,24910
2025-09-04T12:15:00+05:30,24910,24945,24867.4,24924.5
2025-09-04T13:15:00+05:30,24924.8,24938.2,24875,24879.8
2025-09-04T14:15:00+05:30,24877.6,24880,24809.7,24811.1
2025-09-04T15:15:00+05:30,24810,24850,24810,24835
2025-09-05T09:15:00+05:30,24855.3,24927,24765,24770
2025-09-05T10:15:00+05:30,24764.7,24824.4,24720.4,24794.3
2025-09-05T11:15:00+05:30,24793,24808.6,24750,24751
2025-09-05T12:15:00+05:30,24750,24769.6,24724,24768
2025-09-05T13:15:00+05:30,24765.5,24899,24760,24856.6
2025-09-05T14:15:00+05:30,24860.5,24873.7,24822.4,24848
2025-09-05T15:15:00+05:30,24844.2,24863,24842.3,24849.6
2025-09-08T09:15:00+05:30,24888.5,24942.9,24862.2,24896
2025-09-08T10:15:00+05:30,24895.5,24918.3,24871.3,24910
2025-09-08T11:15:00+05:30,24912.9,24940,24896.2,24932
2025-09-08T12:15:00+05:30,24931.6,24978.9,24921,24974
